title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
Dusk Till Dawn - Radio Edit,0.258,0.437,11.0,-6.593,0.0,0.039,0.101,1.27e-06,0.106,0.0967,180.043,pop
"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",0.615,0.547,0.0,-5.086,0.0,0.152,0.254,0.0,0.171,0.167,106.688,pop
rockstar,0.58,0.531,5.0,-6.631,0.0,0.0776,0.128,0.000127,0.143,0.141,159.786,pop
Too Good At Goodbyes,0.515,0.378,5.0,-8.264,1.0,0.065,0.618,0.0,0.172,0.536,91.883,pop
I Just Can't,0.652,0.595,6.0,-6.944,0.0,0.0419,0.162,0.0,0.148,0.303,77.538,pop
Too Much To Ask,0.443,0.55,0.0,-6.417,1.0,0.041,0.371,0.0,0.125,0.188,77.52,pop
Find You,0.64,0.728,6.0,-4.07,0.0,0.034,0.00111,0.0,0.084,0.282,125.966,pop
DNA,0.598,0.775,1.0,-4.035,0.0,0.0545,0.022,0.0,0.0677,0.687,129.819,pop
Meant to Be,0.643,0.783,10.0,-6.458,1.0,0.0856,0.047,0.0,0.083,0.566,154.084,pop
You Could Be,0.718,0.681,5.0,-4.593,0.0,0.0361,0.255,1.88e-05,0.208,0.365,139.99,pop
The Best You Had,0.595,0.608,5.0,-5.303,0.0,0.0373,0.358,0.0,0.0843,0.451,60.878,pop
So Much More Than This,0.742,0.522,5.0,-4.111,1.0,0.152,0.136,0.0,0.0422,0.751,180.039,pop
The Last Of The Real Ones,0.577,0.882,8.0,-5.224,1.0,0.0492,0.00527,0.0,0.257,0.564,115.022,pop
...Ready For It?,0.615,0.779,2.0,-6.454,1.0,0.135,0.0665,0.0,0.155,0.453,160.0,pop
Better Days,0.605,0.736,0.0,-4.363,1.0,0.0751,0.379,0.0,0.0549,0.648,96.007,pop
Plot Twist - Remix,0.533,0.599,8.0,-6.405,1.0,0.3,0.213,0.0,0.0878,0.682,96.764,pop
Best Of Me,0.651,0.756,8.0,-4.388,1.0,0.0762,0.0298,0.0,0.396,0.473,121.96,pop
Think Before I Talk,0.775,0.597,5.0,-5.666,1.0,0.159,0.36,0.0,0.156,0.532,122.069,pop
You Make Me,0.579,0.681,0.0,-6.381,1.0,0.073,0.478,2.67e-05,0.306,0.549,97.716,pop
Bodak Yellow,0.929,0.723,11.0,-5.792,0.0,0.109,0.0672,0.0,0.346,0.468,125.022,pop
Tell Me You Love Me,0.321,0.59,6.0,-5.407,1.0,0.0704,0.0278,0.0,0.144,0.257,71.96,pop
Broken Glass,0.672,0.755,1.0,-3.54,0.0,0.11,0.144,0.0,0.502,0.356,91.996,pop
Cross My Mind Pt. 2 (feat. Kiiara),0.632,0.805,0.0,-5.188,1.0,0.045,0.0646,5.83e-05,0.161,0.454,93.009,pop
Falls (feat. Sasha Sloan),0.294,0.697,6.0,-6.029,1.0,0.128,0.0398,0.00011,0.136,0.173,160.566,pop
He Like That,0.592,0.681,0.0,-5.597,1.0,0.141,0.362,0.0,0.142,0.481,147.016,pop
Burn Slow,0.519,0.463,6.0,-9.407,1.0,0.154,0.107,0.000506,0.104,0.244,91.529,pop
If I'm Lucky,0.897,0.634,4.0,-6.264,0.0,0.161,0.00413,0.0,0.0686,0.506,112.048,pop
I Believe I'm Fine,0.711,0.747,10.0,-6.165,0.0,0.061,0.271,0.0,0.328,0.572,100.01,pop
Say It To My Face,0.596,0.789,1.0,-5.585,0.0,0.045,0.00128,0.0,0.0981,0.399,111.034,pop
Out Of My Head,0.831,0.532,8.0,-7.273,1.0,0.0507,0.12,0.0,0.0905,0.804,108.593,pop
Sleepy Eyes,0.619,0.733,6.0,-6.699,1.0,0.138,0.0508,0.0,0.215,0.481,97.023,pop
Worst In Me,0.653,0.62,6.0,-8.037,1.0,0.0571,0.0871,0.0,0.173,0.244,105.904,pop
Does It Feel Like Falling (Feat. Trinidad Cardona),0.71,0.863,6.0,-3.571,0.0,0.0483,0.0482,3.51e-05,0.0886,0.276,110.065,pop
Chateau,0.662,0.574,5.0,-11.237,1.0,0.0378,0.643,0.829,0.111,0.632,129.995,pop
The Fog,0.604,0.658,4.0,-4.936,0.0,0.0302,0.0318,0.00126,0.131,0.711,106.033,pop
Something Different,0.901,0.531,6.0,-4.118,0.0,0.0791,0.0263,0.0,0.097,0.695,105.026,pop
Crime (with Skott),0.515,0.638,1.0,-7.558,1.0,0.356,0.191,1.18e-06,0.14,0.38,160.182,pop
Drew Barrymore,0.763,0.572,11.0,-7.312,0.0,0.0595,0.493,0.00118,0.106,0.25,151.93,pop
Star Crossed,0.546,0.896,11.0,-4.681,0.0,0.0288,0.00124,0.000153,0.138,0.274,90.028,pop
Moonlight,0.737,0.734,7.0,-4.71,1.0,0.156,0.399,0.0,0.323,0.324,91.999,pop
Hurt Somebody,0.694,0.476,1.0,-6.98,1.0,0.297,0.343,0.0,0.119,0.549,114.939,pop
Glow Like Dat,0.787,0.586,10.0,-9.64,1.0,0.0695,0.411,0.000311,0.118,0.604,140.036,pop
Mistakes,0.678,0.607,0.0,-7.19,1.0,0.075,0.174,0.0,0.0788,0.445,91.973,pop
Flare Guns,,,,,,,,,,,,pop
New Fears,0.37,0.628,6.0,-4.276,0.0,0.0558,0.439,0.0,0.182,0.154,183.714,pop
I Don't Want It At All,0.766,0.739,6.0,-3.011,0.0,0.0835,0.105,0.0,0.084,0.757,110.018,pop
The Spectre,0.654,0.711,1.0,-7.438,0.0,0.0383,0.0214,0.00191,0.0903,0.198,127.957,pop
The Way Life Goes,0.703,0.757,1.0,-3.612,1.0,0.05,0.617,0.0,0.106,0.696,82.008,pop
Alone,0.408,0.613,8.0,-7.381,1.0,0.062,0.338,1.67e-06,0.187,0.196,174.116,pop
Best Friend,0.699,0.7,11.0,-5.704,1.0,0.0392,0.0109,0.0794,0.152,0.3,102.023,pop
rockstar,0.58,0.531,5.0,-6.631,0.0,0.0776,0.128,0.000127,0.143,0.141,159.786,pop
Would You Ever,0.653,0.91,10.0,-3.36,1.0,0.0566,0.0079,0.0,0.318,0.0861,126.047,pop
Idfc,0.63,0.5,1.0,-8.755,0.0,0.0611,0.611,4.04e-05,0.114,0.321,144.871,pop
Silence,0.52,0.761,4.0,-3.093,1.0,0.0853,0.256,4.96e-06,0.17,0.266,141.971,pop
"Let Me Go (with Alesso, Florida Georgia Line & watt)",0.667,0.726,8.0,-4.172,1.0,0.054,0.032,0.0,0.0745,0.77,103.001,pop
Sky Walker,0.629,0.717,6.0,-5.706,1.0,0.0638,0.0876,0.0,0.358,0.129,145.959,pop
Bodak Yellow,0.929,0.723,11.0,-5.792,0.0,0.109,0.0672,0.0,0.346,0.468,125.022,pop
Questions,0.614,0.598,10.0,-6.335,0.0,0.0561,0.00543,0.0,0.1,0.569,105.803,pop
OMG,0.655,0.576,5.0,-6.735,0.0,0.0536,0.0295,0.115,0.132,0.169,139.953,pop
Havana,0.768,0.517,7.0,-4.323,0.0,0.0312,0.186,3.8e-05,0.104,0.408,104.992,pop
California,0.736,0.493,10.0,-7.224,1.0,0.0592,0.265,0.0,0.247,0.364,141.997,pop
Bank Account,0.884,0.346,8.0,-8.228,0.0,0.351,0.0151,7.04e-06,0.0871,0.378,75.016,pop
Lonely Together (feat. Rita Ora),0.648,0.667,2.0,-5.294,0.0,0.065,0.137,2.1e-05,0.0797,0.221,102.966,pop
Signs,0.79,0.734,0.0,-4.66,1.0,0.0524,0.0853,0.00409,0.112,0.217,107.369,pop
Unforgettable,0.726,0.769,6.0,-5.043,1.0,0.123,0.0293,0.0101,0.104,0.75,97.985,pop
DNA,0.598,0.775,1.0,-4.035,0.0,0.0545,0.022,0.0,0.0677,0.687,129.819,pop
Curve (feat. The Weeknd),0.765,0.402,8.0,-8.103,1.0,0.347,0.14,0.0,0.0785,0.352,147.054,pop
Young Dumb & Broke,0.798,0.539,1.0,-6.351,1.0,0.0421,0.199,1.66e-05,0.165,0.41,136.949,pop
"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",0.615,0.547,0.0,-5.086,0.0,0.152,0.254,0.0,0.171,0.167,106.688,pop
I Get The Bag (feat. Migos),0.89,0.633,11.0,-5.475,1.0,0.168,0.0232,0.000343,0.0993,0.42,139.948,pop
i miss the old u,0.716,0.812,7.0,-5.233,1.0,0.344,0.31,0.0,0.551,0.364,133.047,pop
Jocelyn Flores,0.872,0.391,0.0,-9.144,0.0,0.242,0.469,4.13e-06,0.297,0.437,134.021,pop
Dusk Till Dawn - Radio Edit,0.258,0.437,11.0,-6.593,0.0,0.039,0.101,1.27e-06,0.106,0.0967,180.043,pop
Love N Hennessy,0.931,0.306,8.0,-9.979,0.0,0.453,0.0128,8.59e-06,0.0708,0.445,140.039,pop
No Limit,0.837,0.791,1.0,-3.824,1.0,0.251,0.0199,0.0,0.0836,0.379,176.003,pop
So Am I (feat. Damian Marley & Skrillex),0.642,0.791,0.0,-6.073,1.0,0.137,0.0242,0.00891,0.192,0.359,169.84,pop
Plot Twist - Remix,0.533,0.599,8.0,-6.405,1.0,0.3,0.213,0.0,0.0878,0.682,96.764,pop
Glow Like Dat,0.787,0.586,10.0,-9.64,1.0,0.0695,0.411,0.000311,0.118,0.604,140.036,pop
do re mi (feat. Gucci Mane),0.74,0.657,8.0,-6.309,1.0,0.0595,0.00572,0.0,0.211,0.188,112.016,pop
Saved,0.739,0.448,10.0,-10.28,0.0,0.138,0.189,0.0,0.118,0.55,81.044,pop
Best Of Me,0.651,0.756,8.0,-4.388,1.0,0.0762,0.0298,0.0,0.396,0.473,121.96,pop
1-800-273-8255,0.629,0.572,5.0,-7.733,0.0,0.0387,0.57,0.0,0.192,0.38,100.015,pop
Fuck Love (feat. Trippie Redd),0.797,0.533,0.0,-9.74,0.0,0.0412,0.0172,0.000152,0.103,0.329,131.036,pop
Either Way,0.635,0.659,8.0,-4.92,1.0,0.155,0.309,0.0,0.302,0.542,178.018,pop
Run Me Dry,0.646,0.756,9.0,-9.017,0.0,0.487,0.393,3.23e-05,0.202,0.614,193.881,pop
The Way Life Goes,0.703,0.757,1.0,-3.612,1.0,0.05,0.617,0.0,0.106,0.696,82.008,pop
So Good (feat. Demarco),0.621,0.602,9.0,-7.39,0.0,0.138,0.0616,0.0,0.113,0.642,92.016,pop
Butterfly Effect,0.763,0.598,11.0,-6.865,1.0,0.0539,0.0714,0.0,0.112,0.184,140.987,pop
Friends (with BloodPop®),0.744,0.752,8.0,-5.316,1.0,0.0368,0.00398,0.0,0.307,0.624,104.99,pop
Let You Down,0.656,0.716,5.0,-5.676,0.0,0.133,0.32,0.0,0.175,0.453,148.077,pop
Ex Calling,0.782,0.559,1.0,-7.545,1.0,0.258,0.00746,1.74e-05,0.232,0.0782,156.018,pop
Mi Gente,0.548,0.701,11.0,-4.862,0.0,0.0914,0.0178,1.34e-05,0.134,0.286,104.237,pop
Love Scars,0.66,0.603,9.0,-7.366,0.0,0.0661,0.000481,0.0,0.128,0.23,119.412,pop
Provider,0.654,0.325,2.0,-11.925,1.0,0.282,0.74,2.14e-05,0.152,0.39,139.886,pop
Love Galore,0.795,0.594,0.0,-6.2,1.0,0.0747,0.111,0.0,0.162,0.404,135.002,pop
LOVE. FEAT. ZACARI.,0.798,0.582,10.0,-7.38,1.0,0.103,0.29,0.0,0.153,0.782,126.075,pop
Rake It Up,0.91,0.444,1.0,-8.126,0.0,0.344,0.022,0.0,0.137,0.524,149.953,pop
Swerve,0.698,0.582,2.0,-7.026,1.0,0.0902,0.172,9.01e-05,0.112,0.341,150.119,pop
Leg Over - Remix,0.791,0.567,6.0,-6.907,0.0,0.104,0.173,2.61e-06,0.194,0.522,98.044,pop
These Heaux,0.852,0.577,6.0,-6.347,0.0,0.16,0.215,0.0,0.138,0.456,119.986,pop
No Good For Me,0.677,0.616,11.0,-5.169,1.0,0.128,0.0152,3.11e-05,0.124,0.297,113.041,pop
Through Enough (feat. GoldLink),0.833,0.72,8.0,-4.011,1.0,0.187,0.194,0.0,0.0652,0.884,103.129,pop
Gucci Gang,0.95,0.533,5.0,-7.022,1.0,0.148,0.247,0.0,0.114,0.675,119.869,pop
Terrified,0.466,0.411,0.0,-10.892,0.0,0.0548,0.414,0.528,0.0973,0.106,140.041,pop
Wanted (feat. Nevelle Viracocha),0.466,0.533,3.0,-9.419,0.0,0.0326,0.00913,0.437,0.2,0.257,146.571,pop
Roll In Peace (feat. XXXTENTACION),0.747,0.524,10.0,-6.807,0.0,0.245,0.0306,0.0,0.2,0.369,140.053,pop
Can't Hold Us - feat. Ray Dalton,0.641,0.922,2.0,-4.457,1.0,0.0786,0.0291,0.0,0.0862,0.85,146.078,pop
Wild Ones (feat. Sia),0.608,0.86,5.0,-5.324,0.0,0.0554,0.0991,0.0,0.262,0.441,127.075,pop
Starships,0.748,0.727,11.0,-2.42,0.0,0.0871,0.167,0.0,0.166,0.68,125.014,pop
One Last Time,0.628,0.593,8.0,-5.036,1.0,0.0323,0.093,1.65e-06,0.096,0.0933,125.026,pop
Airplanes (feat. Hayley Williams of Paramore) - Explicit Album Version,0.66,0.867,6.0,-4.285,0.0,0.116,0.11,0.0,0.0368,0.376,93.033,pop
Stereo Hearts (feat. Adam Levine) - feat. Adam Levine,0.646,0.795,9.0,-3.293,1.0,0.0976,0.0319,0.0,0.267,0.791,89.99,pop
Party In The U.S.A.,0.454,0.708,10.0,-4.526,0.0,0.0675,0.00124,0.000181,0.0679,0.475,192.18,pop
I Knew You Were Trouble.,0.596,0.473,6.0,-6.745,1.0,0.039,0.00563,1.29e-06,0.043,0.662,154.228,pop
Trumpets,0.635,0.691,0.0,-4.862,1.0,0.258,0.555,0.0,0.097,0.63,82.142,pop
Super Bass,0.727,0.866,11.0,-4.288,1.0,0.185,0.282,3.87e-06,0.585,0.67,127.01,pop
Titanium (feat. Sia) - feat. Sia,0.599,0.803,0.0,-3.641,0.0,0.0986,0.069,0.137,0.129,0.254,126.057,pop
Like A G6,0.352,0.843,7.0,-7.983,0.0,0.482,0.00738,0.0,0.0883,0.716,165.29,pop
Time of Our Lives,0.72,0.802,1.0,-5.797,1.0,0.0582,0.0921,0.0,0.694,0.716,124.043,pop
Umbrella,0.579,0.821,1.0,-4.616,1.0,0.152,0.0117,0.0,0.0631,0.561,174.063,pop
Glad You Came,0.755,0.838,7.0,-4.5,0.0,0.0687,0.0643,1.59e-05,0.118,0.454,126.877,pop
Classic,0.72,0.791,1.0,-4.689,1.0,0.124,0.0384,0.0,0.157,0.767,102.071,pop
Crazy In Love,0.646,0.77,2.0,-6.596,0.0,0.226,0.00249,0.0,0.0715,0.687,99.165,pop
Love You Like A Love Song,0.859,0.697,1.0,-3.79,0.0,0.0569,0.0715,0.0,0.0761,0.875,117.008,pop
The Monster,0.786,0.857,9.0,-3.765,1.0,0.0734,0.0514,0.0,0.112,0.602,110.038,pop
Royals,0.616,0.432,7.0,-9.546,1.0,0.133,0.106,0.0,0.132,0.313,84.778,pop
Stronger,0.625,0.726,10.0,-7.731,0.0,0.155,0.00728,0.0,0.318,0.479,103.98,pop
Maps,0.745,0.714,1.0,-5.501,0.0,0.0302,0.0183,0.0,0.0636,0.847,120.025,pop
Timber,0.581,0.963,11.0,-4.087,1.0,0.0981,0.0295,0.0,0.139,0.792,129.992,pop
Dynamite,0.75,0.78,4.0,-3.155,1.0,0.0898,0.00622,0.0,0.0263,0.819,119.985,pop
Live Your Life - feat. Rihanna,0.375,0.862,11.0,-3.363,0.0,0.255,0.071,0.0,0.211,0.472,159.841,pop
Thrift Shop (feat. Wanz),0.781,0.526,6.0,-6.985,0.0,0.293,0.0619,0.0,0.0457,0.661,94.992,pop
Break Free,0.687,0.702,7.0,-5.324,0.0,0.0455,0.0064,4.35e-05,0.204,0.254,129.956,pop
TiK ToK,0.755,0.832,2.0,-2.741,0.0,0.116,0.0746,1.27e-06,0.291,0.719,120.032,pop
Bad Blood,0.65,0.793,7.0,-6.083,1.0,0.185,0.0795,1.3e-05,0.168,0.282,170.101,pop
Halo,0.508,0.72,11.0,-5.908,0.0,0.0628,0.272,0.0,0.0563,0.476,79.983,pop
E.T. - feat. Kanye West,0.62,0.869,1.0,-5.252,1.0,0.175,0.0181,0.0,0.369,0.769,151.684,pop
Counting Stars,0.663,0.714,1.0,-4.944,0.0,0.038,0.0649,0.0,0.116,0.471,121.99,pop
Feel This Moment,0.673,0.758,7.0,-3.632,1.0,0.158,0.039,0.0,0.341,0.541,135.956,pop
"Young, Wild & Free (feat. Bruno Mars) - feat. Bruno Mars",0.715,0.655,0.0,-6.425,1.0,0.137,0.0525,0.0,0.115,0.557,95.078,pop
Wildest Dreams,0.556,0.688,8.0,-7.328,1.0,0.0856,0.0612,0.00256,0.112,0.45,140.011,pop
I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],0.711,0.906,8.0,-2.671,1.0,0.0284,0.00952,1.64e-05,0.153,0.818,125.916,pop
Shake It Off,0.653,0.799,7.0,-5.359,1.0,0.163,0.0577,0.0,0.221,0.945,160.017,pop
All Of The Lights,0.558,0.794,1.0,-3.234,1.0,0.0533,0.0724,2.15e-05,0.19,0.308,142.156,pop
Raise Your Glass,0.7,0.695,7.0,-4.973,1.0,0.0897,0.00629,0.0,0.0319,0.607,122.028,pop
Call Me Maybe,0.778,0.585,7.0,-6.502,1.0,0.0435,0.0123,0.0,0.108,0.633,120.069,pop
Bad Romance,0.697,0.921,0.0,-3.75,1.0,0.0391,0.00305,3.65e-05,0.0831,0.72,118.99,pop
Just the Way You Are,0.637,0.843,5.0,-5.413,1.0,0.0432,0.0151,0.0,0.0876,0.441,109.012,pop
Fireflies,0.591,0.649,3.0,-6.72,1.0,0.0417,0.0294,0.0,0.133,0.482,90.002,pop
Uptown Funk,0.856,0.609,0.0,-7.223,1.0,0.0824,0.00801,8.15e-05,0.0344,0.932,114.988,pop
Radioactive,0.474,0.779,9.0,-3.655,1.0,0.0604,0.0985,0.000106,0.658,0.233,136.23,pop
Midnight City,0.526,0.712,11.0,-6.525,0.0,0.0356,0.0161,0.0,0.179,0.299,105.009,pop
No One,0.649,0.552,1.0,-5.419,0.0,0.0292,0.03,6.47e-06,0.111,0.169,89.969,pop
Firework,0.638,0.832,8.0,-5.039,1.0,0.049,0.141,0.0,0.113,0.651,124.071,pop
Someone Like You,0.559,0.33,9.0,-8.251,1.0,0.0285,0.892,0.0,0.0975,0.28,135.109,pop
Lego House,0.592,0.637,11.0,-8.48,1.0,0.0992,0.562,0.0,0.13,0.563,159.701,pop
Too Much To Ask,0.517,0.552,0.0,-6.401,1.0,0.039,0.375,0.0,0.106,0.196,153.747,pop
Find You,0.64,0.728,6.0,-4.07,0.0,0.034,0.00111,0.0,0.084,0.282,125.966,pop
"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",0.541,0.557,0.0,-5.094,0.0,0.173,0.272,0.0,0.156,0.173,106.122,pop
Mistakes,0.678,0.607,0.0,-7.19,1.0,0.075,0.174,0.0,0.0788,0.445,91.973,pop
Heartline,0.758,0.779,8.0,-3.531,0.0,0.0433,0.326,0.0,0.178,0.78,106.966,pop
The Spectre,0.654,0.711,1.0,-7.438,0.0,0.0383,0.0214,0.00191,0.0903,0.198,127.957,pop
rockstar,0.577,0.522,5.0,-6.594,0.0,0.0984,0.13,9.03e-05,0.142,0.119,159.772,pop
Arrows,0.515,0.917,1.0,-7.312,1.0,0.0417,0.000209,0.000476,0.145,0.409,121.988,pop
Talking to You,0.922,0.7,11.0,-6.822,0.0,0.112,0.44,0.000175,0.225,0.476,117.97,pop
Rainbow (From The Original Motion Picture Soundtrack 'My Little Pony: The Movie'),0.532,0.864,2.0,-2.978,1.0,0.137,0.292,0.0,0.0671,0.436,81.873,pop
What Do You Know,0.758,0.503,1.0,-8.056,1.0,0.215,0.448,0.164,0.0859,0.541,195.981,pop
Curve (feat. The Weeknd),0.765,0.402,8.0,-8.103,1.0,0.347,0.14,0.0,0.0785,0.352,147.054,pop
You’re The Best Thing About Me - U2 Vs. Kygo,0.773,0.629,2.0,-7.247,1.0,0.0937,0.00544,0.0,0.0744,0.696,117.029,pop
The Gate,,,,,,,,,,,,pop
